claim,label
Women are more susceptible to death due to pneumonia when compared to men.,SUPPORT
Women with a higher birth weight are more likely to develop breast cancer later in life.,SUPPORT
Women with a lower birth weight are more likely to develop breast cancer later in life.,CONTRADICT
YAP/TAZ is required in intestinal regeneration in mouse models of ulcerative colitis.,SUPPORT
aPKCz causes tumour enhancement by affecting glutamine metabolism.,CONTRADICT
aPKCz causes tumour suppression by affecting glutamine metabolism.,SUPPORT
cSMAC formation enhances weak ligand signalling.,SUPPORT
cSMAC formation represses weak ligand signalling.,CONTRADICT
mTORC2 regulates intracellular cysteine levels through xCT inhibition.,SUPPORT
mcm 5 s 2 U is required for proper decoding of NNR codons in eukaryotes.,SUPPORT
miR-142-5P is a known regulator of raised body temperature.,SUPPORT
miRNAs enforce homeostasis by suppressing low-level ''leaky'' transcription.,SUPPORT
siRNA knockdown of A20 slows tumor progression in an in vivo murine xenograft model.,SUPPORT
β-sheet opening occurs during pleurotolysin pore formation.,SUPPORT
